1girl,女の子
circle k sunkus,サークルKサンクス
mizuhashi parsee (cosplay),光沢パーシー（コスプレ）
resistance japan,レジスタンスジャパン
mehve,メーヴェ
silicone chainsaw (sex tool),シリコンチェーンソー
galaxy rangers (honkai: star rail),巡海レンジャー
sexy spy (idolmaster),セクシースパイ
poking ass,突っ込んだお尻
haru desu yo,春ですよー
silver skirt,シルバースカート
las vegas,ラスベガス
trinity (nijisanji),とりにてぃ
argonian,アルゴニアン
harness belt,ハーネスベルト
torn unitard,引き裂かれたユニタード
toraware no marionette (project sekai),囚われのマリオネット
tokyo yushun,日本ダービー
plaid umbrella,格子縞の傘
advent card,アドベントカード
electric razor,電気シェーバー
saint patrick's day,聖パトリックの祝日
anti-tank missile,対戦車ミサイル
egg sandwich,たまごサンド
byzantine empire,東ローマ帝国
kochou shinobu (cosplay),小川忍（コスプレ）
chocoboo,チョコボー
semovente 75/18,セモヴェンテ
divine spirit mausoleum,夢殿大祀廟
armory,武器庫
okra,オクラ
see-through china babydoll,透け透けシースルーチャイナ服ベビードール
battlecruiser,巡洋戦艦
ogura toast (food),小倉トースト
sanjou school swords (touken ranbu),三条(刀剣乱舞)
kazikli bey (fate/apocrypha),カズィクル・ベイ
broom ribbon,ほうきリボン
furred dragon,ファードラ
core (girls' frontline),代用コア
pin legs,足ピン
bobblehead,首振り人形
doner wrap,ギロピタ
inkan,印鑑
da qian lu,大千录
assless swimsuit,尻のない水着
teheperinko (heaven burns red),てへぺりんこ
giga drill break,ギガドリルブレイク
oyakodon (food),親子丼
chiffon cake,シフォンケーキ
shichi-go-san,七五三
monofin,人魚スーツ
female admiral (kancolle) (cosplay),女性提督（カンコル）（コスプレ）
thor (marvel) (cosplay),トール（マーベル）（コスプレ）
fine (ensemble stars!),フィーネ
jigen daisuke (cosplay),Jigen daisuke（コスプレ）
heliconia,ヘリコニア
nonstop story,ノンストップストーリー
ningen mukotsu (fate),人間無骨(Fate)
scottish flag,スコットランドの国旗
rubbing neck,首をこすります
qixie,旗鞋
princess of the crystal (cosplay),クリスタルの王女（コスプレ）
t-65 x-wing,Xウィング
mew ichigo (cosplay),ミュー・イチゴ（コスプレ）
imaizumi kagerou (cosplay),Imaizumi Kagerou（コスプレ）
takecopter,タケコプター
balus,バルス
palm strike,パームストライク
royal flare,日符「ロイヤルフレア」
fist fight,拳の戦い
periscope,潜望鏡
soul edge (weapon),ソウルエッジ（武器）
avatar base,アバターベース
mumumuridesu zettai! (meme),むむむ、無理です絶対
casserole,キャセロール
doraemon (character) (cosplay),Doraemon（キャラクター）（コスプレ）
d4y suisei,彗星
dizzy (guilty gear) (cosplay),Dizzy（Guilty Gear）（コスプレ）
amusphere,アミュスフィア
donbei tempura soba,どん兵衛天ぷらそば
raiden (metal gear) (cosplay),Raiden（Metal Gear）（コスプレ）
nyanpassu~,にゃんぱす~
ptrs-41,シモノフPTRS1941
leaf flute,草笛
how to draw manga redraw challenge (meme),マンガレッドローチャレンジ（ミーム）を描く方法
2024 niconico cyberattack,がんばれニコニコ運営
tied breast,被系绑的胸部
g7 scout,G7スカウト
digital rain,デジタルレイン
seidouzan,聖堂山中
folding paizuri,おっぱい抱きしめホールド
cure fleuret,キュアフルーレ
flat tire,パンクしたタイヤ
serie a,セリエa
sumaki (action),簀巻き
heat stroke,熱中症
diatrekhon aster lonkhe,ディアトレコーン・アステール・ロンケーイ
futaba riho (cosplay),Futaba riho（コスプレ）
ikari gendou (cosplay),イカリ・ジェンドゥ（コスプレ）
cooling tower,冷却塔
h&k xm8,H＆K XM8
behemoth,ベヒーモス
ikazuchi (kancolle) (cosplay),岩石（カンコル）（コスプレ）
oikawa shizuku (cosplay),及川雫の衣装
cinemagraph,シネマグラフ
tomorrow (konosuba),このすば謎ダンス
giorno giovanna (cosplay),ジョルノジョバンナ（コスプレ）
transverse plane cutting,トランスアキシャル面切断
cello case,チェロケース
omikuji-bako,御籤箱
zucchini (vegetable),ズッキーニ
higashikata josuke (cosplay),ヒガシカタ・ジョセル（コスプレ）
op chiya (gochiusa),OP千夜
checkered swimsuit,チェッカー水着
camp,キャンプ
no u-turn sign,Uターン禁止
dilation insertion,拡張挿入
meshers (nijisanji),メッシャーズ
kogasa day,6月11日は小傘の日
animal pov,動物POV
cephalopod,頭足類
kokkuri-san (game),こっくりさん
improvised instrument,即興樂器
sailor crest,セーラークレスト
terrorism,テロリズム
plaid sarong,格子縞のサロン
like and redraw challenge,いいねした人は私のイラストを自分の絵柄で描く
parabolic antenna,パラボラアンテナ
tatsumaki senpuukyaku,竜巻旋風脚
atashi-tachi no happy end (project sekai),あたしたちのハッピーエンド
astolfo (sailor paladin) (fate) (cosplay),アストルフォ（セーラーパラディン）（運命）（コスプレ）
hershey's,ハーシーズ
suiguutou (juuni kokuki),水禺刀
dryness squad,捕食者四天王
plateau,こうげん
flounder,ヒラメ
yu mei-ren (fate) (cosplay),Yu Mei-Ren（Fate）（コスプレ）
giant of light,光の巨人
drive driver,ドライブドライバー
tap out,タップアウト
hiroshima prefecture,広島県
litter box,猫砂
measuring cylinder,メスシリンダー
wave rider,ウェイブライダー
the gate (fma),真理の扉
shooing,shooing
triple action thunder,トリプルアクションサンダー
chest binder,ナベシャツ
invasion of normandy,ノルマンディー上陸作戦
british shorthair,ブリティッシュショートヘア
st. basil's cathedral,セントバジル大聖堂
rinmeikan girls school uniform,Rinmeikan Girls Schoolユニフォーム
captured alien (meme),捕まった宇宙人
dance on the galaxy (idolmaster),ダンスオンザギャラクシー
johanna-san to mikakunin no ai,ヨハンナさんと未確認の愛
multiple shikishi,複数のシキシ
parasite crest,寄生虫の紋章
police box,ポリスボックス
bottle cap challenge,ボトルキャップチャレンジ
iskandar (fate) (cosplay),イスカンダル（運命）（コスプレ）
torayamachi academy school uniform,トーラーマチアカデミースクールユニフォーム
uzaki hana (cosplay),うずまきハナ（コスプレ）
scotland,スコットランド
da vinci to shichinin no gansaku eirei,ダ・ヴィンチと七人の贋作英霊
gumi (cosplay),グミ（コスプレ）
super saiyan blue evolved,超サイヤ人ゴッドSS・進化
trench knife,トレンチナイフ
oncidium,オンシジューム
tea leaves,茶葉
storybook,ストーリーブック
highwind,ハイウインド
california,カリフォルニア
styrofoam,発泡スチロール
cat cutout panties,猫の切り抜きパンティー
orihimeboshi (nijisanji),織姫星
1991,1991年
n.u.n.s.,新統合宇宙軍
kokkoro (princess connect!) (cosplay),コッコロ（プリンセスコネクト！）（コスプレ）
pop sound blossom (idolmaster),ポップサウンドブラッサム
black swan (bird),コクチョウ
bongo drums,ボンゴ
xbox series x,Xboxシリーズx
ice hockey,アイスホッケー
peperuto pollon,ペペルトポロン
empress,皇后
takanashi rikka (cosplay),高野rikka（コスプレ）
crotch ribbon,股間リボン
pig tattoo,豚のタトゥー
weapon shop,武器店
legjob,legjob
black forest cake,黒い森のケーキ
transparent bow,透明な弓
virtual youtuber shiten'nou,バーチャル親分と四天王
waha~ (meme),わは~
electric wind instrument,電気機器
quidditch,クィディッチ
outside of play area,プレイエリアの外です
pyonpyon rabbit (idolmaster),ぴょんぴょん・ラヴイット
h&k sl8,H＆K SL8
eula (genshin impact) (cosplay),Eula（Genshin Impact）（コスプレ）
nigiribashi,握り箸
penis wrap,ペニスラップ
anmin dreamingribbon (project sekai),安眠☽DreamingRibbon
seidouzan soccer uniform,Seidouzanサッカーユニフォーム
whole rest,全休息
ippen shinde miru?,いっぺん、死んでみる?
iron claw,アイアンクロー
va (phrase),ヴぁ
ludwig's holy blade,ルートヴィヒの聖なる刃
shared innertube,共有InnerTube
artzy tyrannical (arknights),艺术暴君(武器)
gynecomastia,女性化乳房
eurofighter typhoon,ユーロファイター・タイフーン
wii balance board,バランスWiiボード
i'm so fucked up (meme),最低だ、俺って...
m26 pershing,M26パーシング
little devil swimsuit (idolmaster),リトルデビルミズギ
filipino text,フィリピン語
powered suit (toaru),駆動スーツ（Toaru）
torifune (touhou),トリフネ
daiyousei (cosplay),daiyousei（コスプレ）
paper moon (fate/grand order),虚数羅針内界ペーパームーン
half-shirt,ハーフシャツ
serratus anterior,前鋸筋
parfait noir (idolmaster),パルフェ・ノワール
toyota crown,トヨタ・クラウン
sweet dolls (idolmaster),スウィートドールズ
clitoris sleeve,クリトリススリーブ
blobfish,ニュウドウカジカ
roast beef,ローストビーフ
nugget (pokemon),きんのたま
galick gun,ギャリック砲
ruri&to (love live!),りとるりと
igawa sakura (cosplay),イガワサクラ（コスプレ）
cromwell (tank),クロムウェル
shift car,シフトカー
guppy (fish),グッピー
jersey barrier,ジャージー・バリア
handheld metal detector,金属探知機
shinnen kotohogu inori no mai (project sekai),新年言祝ぐ、祈りの舞
neodecadriver,ネオディケイドライバー
obligation chocolate,義理チョコ
walking on wall,ウォールウォーキング
bucket of lava,溶岩入りバケツ
tokitsukaze (kancolle) (cosplay),tokitsuaze（kancolle）（コスプレ）
bb-28 (cosplay),BB-28（コスプレ）
the one ring,一つの指輪
human sacrifice,最上級の奉仕
former capital,旧都
cat cafe,猫咖
shadow star,デビルスター
itou junji (style),伊藤潤二
decoration (idolmaster),凸レーション
statice,リモニウム
itsukushima shrine,厳島神社
lyn (fire emblem) (cosplay),Lyn（Fire Emblem）（コスプレ）
nadia la arwall (cosplay),ナディアラアルウォール（コスプレ）
double eyepatch,ダブルアイパッチ
liver spots,肝臓の斑点
dum sticky note,Dum Sticky Note
water spring,水の泉
switzerland,スイス
corkscrew,コークスクリュー
soul badge,ピンクバッジ
karl gerat,カール自走臼砲
digestion,消化
burdock root,ゴボウ
nameko face (osawari tantei),namekoフェイス（オサワリタンテイ）
skol,スコール
twinkle eye,きらめく目
sagisawa fumika (cosplay),佐々木fumika（コスプレ）
woodpecker,キツツキ
rum,ラム酒
squirt bottle (pokemon),ゼニガメじょうろ
training room,トレーニングルーム
x-gun,x-gun
medawatch,メダロッチ
minibow,ミニボウ
zanburg,ザンブルグ
hrunting (fate),赤原猎犬
hellebore,クリスマスローズ
otaple,オタプル
shihou (g-o-s) (style),shihou（g-o-s）（スタイル）
hakuryuu (mixi max zhuge kongming),白明
engineering nonsense,技術の無駄遣い
cake pop,ケーキポップ
magicite,魔石(ファイナルファンタジーVI)
exploding watermelon challenge,スイカ輪ゴム実験
laser pointer,レーザーポインター
hanamichi middle school uniform,はなみち中学校
faberge egg,インペリアル・イースター・エッグ
oculus (genshin impact),神の瞳
wave makers! (idolmaster),ウェーブ・メーカーズ!
hatsune miku the world traveler,ミクさん世界の旅
highleg shorts,ハイレッグショートパンツ
mini uzi,ミニウージー
chopper (motorcycle),チョッパー
minasoko ni kage wo sagashite (project sekai),水底に影を探して
thighhighs under pantyhose,パンストの下の太もも
