original,オリジナル
koiiro chu! lips,こいいろChu!Lips
aka (nekoneko soft),朱-Aka-
okinawa club,おきなわ部
yuubari melon koukou,夕張めろん高校
youko no sakuya-kun,妖狐のさくやくん
aquarius (drink),アクエリアス(スポーツドリンク)
kengan omega,ケンガンオメガ
kamen rider g (movie),仮面ライダーG
echidna wars dx,ミリア戦記DX
doukyonin wa hiza tokidoki atama no ue.,同居人はひざ、時々、頭のうえ。
virtual market,バーチャルマーケット
chuokyousyoujo,調教少女
serafuku to kikanjuu,セーラー服と機関銃
bay area rapid transit,バート
kingdom under fire,キングダム・アンダー・ファイア
donkey kong jr. (game),ドンキーコングJr.
nihon-chan,ニホンちゃん
kanzen muken no shinjin majutsusei,完全無欠の新人魔術生
xuyan xueyuan,虚研学园
odakyu electric railway,小田急
black hawk down,ブラックホーク・ダウン
brigandine,ブリガンダイン
ningyo series,人魚シリーズ
elfin rose,エルフィン・ローズ~囚われの三皇女~
megatokyo,メガトーキョー
sally (music circle),サリー
the odyssey (2026 movie),オデュッセイア(映画)
high energy heroes,高能英雄
hibi hakkenteki step! (idolmaster),日々、発見的ステップ!
hyperinflation,ハイパーインフレーション
comitia 124,コミティア124
actraiser renaissance,アクトレイザー・ルネサンス
phantasy star nova,ファンタシースターノヴァ
asumi kakeru,アスミカケル
kinjo no nanako-san,近所のななこさん
mirai robo daltanious,未来ロボダルタニアス
junketsu no mahou shoujo,純潔の魔法少女
nami yo kiite kure,波よ聞いてくれ
bikyaku seido kaichou ai,美脚性奴会長_亜衣
unmei senjou no phi,運命線上のφ
hoshi no rebellion,輝星のリベリオン
houkago wa isekai kissa de coffee wo,放課後は、異世界喫茶でコーヒーを
soukyuu dragon guild,蒼穹ドラゴンギルド
soreyori no prologue,ソレヨリノ前奏詩
sorceress alive!,ソーサレス*アライヴ!
marronni yell,まろに☆えーる
manga science,まんがサイエンス
orenchi no furo jijou,オレん家のフロ事情
kimi dake no ponytail,君だけのポニーテール
kissa korikori,喫茶狐狸狐狸
tenioha! onna no ko datte honto wa ecchi da yo?,てにおはっ!女の子だってホントはえっちだよ?
jussai no saikyou madoushi,十歳の最強魔導師
fossil fighters champions,スーパーカセキホリダー
kerbal space program,カーバルスペースプログラム
sekirara (idolmaster),赤裸々
mamatomo,ママトモ
clock tower ghost head,クロックタワーゴーストヘッド
bunny's mama daikou service,Bunny’sママ代行サービス
paris ni saku etoile,パリに咲くエトワール
saiminjutsu 2,催眠術2
gap no aru joshi futari ga yuri na hanashi.,ギャップのある女子二人が百合な話。
darna (series),ダルナ
raise wa tanin ga ii,来世は他人がいい
the scroll of taiwu,太吾绘卷
honglou meng,こうろうむ
alice in heaven,アリスインヘブン
tamayura mirai,タマユラミライ
mario tennis fever,マリオテニスフィーバー
fabulous beasts,有兽焉
making lovely,メイキング・ラブリー
hypnosis mic: dream rap battle,ヒプドリ
kingdom hearts: melody of memory,メロディオブメモリー
hentai douchu banbanzai,変態道中蛮万歳
denpa kyoushi,電波教師
ayakashi: japanese classic horror,怪~ayakashi~
taroman: okamoto taro shiki tokusatsu katsugeki,帰ってくれタローマン
mobile suit gundam rg xarx-zero,機動戦士ガンダムRG_XARX-ZERO
the red shoes (andersen),赤い靴(童話)
heisei haizanhei sumire-chan,平成敗残兵☆すみれちゃん
digital devil story,デジタル・デビル物語女神転生
contra: the hard corps,魂斗羅ザ・ハードコア
a christmas carol,クリスマス・キャロル
aishiteru game wo owarasetai,愛してるゲームを終わらせたい
kyokkou (idolmaster),極光(学園アイドルマスター)
mario sports mix,マリオスポーツミックス
welcome to shimejiri village!,ようこそ!!締尻村へ
choushujinnkou (vocaloid),超主人公
gunvolt records cychronicle,GUNVOLT_RECORDS_電子軌録律
das boot,U・ボート(映画)
positive parade (vocaloid),ポジティブ・パレード
cyberia plus,サイベリアplus
aete mushisuru kimi to no mirai,あえて無視するキミとの未来
shueisha,集英社
mitsuya cider,三ツ矢サイダー
eien ni shiawase ni naru houhou mitsukemashita (vocaloid),永遠に幸せになる方法、見つけました。
hello world (2019 movie),ハロー・ワールド
q (vocaloid),Q(椎名もた)
mario party superstars,マリオパーティスーパースターズ
split dance (vocaloid),スプリットダンス
aden (game),亜電
yume tsushin,梦通信
happy ni naritai (nanawo akari),ハッピーになりたい
quinty,クインティ
langrisser millenium ws,ラングリッサーミレニアムWS
doteraman,ドテラマン
mega man ii,ロックマンワールド2
lsd: dream emulator,LSD(ゲーム)
baibato,ぶいばと公式
mu (utau),む
kono oto tomare!,この音とまれ!
aisle (idolmaster),アイル(アイマス)
nansei project,南西Project
cinderella eleven,シンデレライレブン
tony takezaki no gundam manga,トニーたけざきのガンダム漫画
dousei kara hajimaru otaku kanojo no tsukurikata,同棲から始まるオタク彼女の作りかた
watashi wa ame (vocaloid),私は雨
dragon quest monsters: caravan heart,ドラゴンクエストモンスターズキャラバンハート
sanarica,サナリカ
umi no triton,海のトリトン
tp bon,T・Pぼん
digimon adventure 02: digimon hurricane jouriku!! chouzetsu shinka!! ougon no digimental,デジモンハリケーン上陸!!
motokano to no jirettai gisou kekkon,元カノとのじれったい偽装結婚
gakkou no kowai uwasa: hanako-san ga kita!!,学校のコワイうわさ花子さんがきた!!
the sleeping beauty (idolmaster),眠り姫
renge to naruto,れんげとなると!
the adventures of tom sawyer,トム・ソーヤーの冒険
how to sekai seifuku (vocaloid),ハウトゥー世界征服
kizuna no allele,絆のアリル
kemono fabric vivarium transfer,ケモノファブリック
yuusha no segare,勇者のセガレ
riot games,ライアットゲームズ
gone with the wind,風と共に去りぬ
kikou kantai dairugger xv,機甲艦隊ダイラガーXV
maken x,魔剣X
toki no daichi,刻の大地
hajimete no aku,はじめてのあく
tonari no seki no mukuchi gyaru ni edzuke shitara,隣の席の無口ギャルに餌付けしたら
tsumi to batsu (008achi),罪と罰。
green green greens,グリーングリーングリーンズ
sekai ka kanojo ka erabenai,世界か彼女か選べない
kokon tozai (love live!),ココン東西
seishun kirameki rockers!!,青春キラメキ☆ロッカーズ!!
monument valley (game),モニュメントバレー
reika wa karei na boku no maid,レイカは華麗な僕のメイド
sosogi wa kaeritai,そそぎはかえりたい
valkyrie of phantasm,幻想のヴァルキューレ
perennial (love live!),ペレニアル
the naked gun (series),裸の銃を持つ男
mahou shoujo madoka magica manga,魔法少女まどか☆マギカ(コミカライズ版)
haikei doppelganger (vocaloid),拝啓ドッペルゲンガー
the hitchhiker's guide to the galaxy,銀河ヒッチハイク・ガイド
gaia gensouki,ガイア幻想紀
buchigire reijou wa houfuku o chikaimashita. ~madousho no chikara de sokoku o tataki tsubushimasu~,ブチ切れ令嬢は報復を誓いました。~魔導書の力で祖国を叩き潰します~
kunoichi botan,くノ一牡丹
v-drive!,Vドライブ!
kokou no hana to yobareru eikoku bishoujo gimai ni nattara bukiyou ni amaete kita,孤高の華と呼ばれる英国美少女、義妹になったら不器用に甘えてきた
chuugakusei kanoke,中学生棺桶
bokujou monogatari: saikai no mineral town,再会のミネラルタウン
hatena illusion,はてな☆イリュージョン
cho tokimeki sendenbu,超ときめき♡宣伝部
yoru no pierrot,夜のピエロ
the book of life,ブック・オブ・ライフ
strobe last (vocaloid),ストロボラスト
yamada perfect (vocaloid),完全体の山田
toshishita kanojo,年下彼女
omoi wo sasageru otome no melody ~afureru omoi wo shirabe ni nosete~,想いを捧げる乙女のメロディー
witch company project,魔女公司
mahou shoujo dandelion,魔法少女ダンデライオン
eroge sekai ni tensei shita ore ga oshi e no ai de netorare heroine o shiawase ni suru.,転ヒロ
yamikko troublemaker,病みっ子トラブルメーカー
idol hakkenden,アイドル八犬伝
ore no osananajimi ga dekkkkkaku narisugita,俺の幼馴染がデッッッッかくなりすぎた
koukyuu no karasu,後宮の烏
eiga daisuki pompo-san,映画大好きポンポさん
ojama mushi (vocaloid),おじゃま虫
h ero,【H_EROピン:悪党】
digimon next,デジモンネクスト
milk tissue girl,ミルクティッシュガール
salad fingers (series),サラダ指
7nin no kenja to renkinjutsushi,7人の賢者と錬金術師
valkyrie elysium,ヴァルキリーエリュシオン
ma shounen bt,魔少年ビーティー
circle mate,サークルメイト
kamachi crossover,とある魔術のヘヴィーな座敷童が簡単な殺人妃の婚活事情
yababaina (vocaloid),ヤババイナ
dreaming freedom,从梦到自由
pachislot rockman ability,ロックマンアビリティ
ikemen sugi desu shiki-senpai!,イケメンすぎです紫葵先パイ!
anchor panic,アンカーパニック
harmony (project itoh),ハーモニー
e.x. troopers,エクストルーパーズ
naki no ryuu,哭きの竜
kingdom conquest,キングダムコンクエスト
netorare manga no kuzu otoko ni tensei shita hazu ga heroine ga yottekuru ken,寝取られ漫画のクズ男に転生したはずがヒロインが寄ってくる件
lilja to natsuka no junpaku na uso,リルヤとナツカの純白な嘘
weiward romance (synthesizer v),炜WARD_ROMANCE
love lab (visual novel),らぶらぼ
sennagi,戦巫〈センナギ〉―穢れた契りと神ころも―
elf to shuryoushi no item koubou,エルフと狩猟士のアイテム工房
space hunter,スペースハンター
dallas mavericks,ダラス・マーベリックス
nekonote (vtuber),ねこのて
mizuho chuugakusei sekai houkai wa totsuzen ni,みずほ、中学生、世界崩壊は突然に
mochipoyo-chan,もちぽよちゃん
rohto seiyaku,ロート製薬
listeners (anime),リスナーズ
command & conquer: generals,ジェネラルズ
ryuusei no varnir star ecdysis of the dragon,竜星のヴァルニール
sangokushi tenka,三国志天華
hoho ga kawaku made (vocaloid),頬が乾くまで
domestic de violence,ドメスティックでバイオレンス
a sore pon desu!,あ、それポンです!
alice in cyberland,ありすインサイバーランド
mary to majo no hana,メアリと魔女の花
kawasaki frontale,川崎フロンターレ
osananajimi biglove,天使だった幼なじみ、再会したらギャルだった
hajimari no mahoutsukai,始まりの魔法使い
shukusei maachi,粛清マーチ
black panther: wakanda forever,ブラックパンサー/ワカンダ・フォーエバー
shinon no tokeitou (vocaloid),針音ノ時計塔
botsuraku youtei nanode kajishokunin wo mezasu,没落予定なので、鍛治職人を目指す
enkou shoujo 2 ~jk idol masuzu no baai~,円交少女2~JKアイドル真鈴の場合~
chikasugiru karera no juunanasai no tooi kankei,近すぎる彼らの、十七歳の遠い関係
tsukiakari ni modaeru harame,月明りに悶える孕女
hakoniwa oukoku no souzoushu-sama,箱庭王国の創造主サマ
epic mickey,エピックミッキー
shin angyou onshi,新暗行御史
fuji-q highland,富士急ハイランド
sonna futari wa tsukiatteiru,そんな2人はつきあっている
stray kids,ストレイキッズ
moonwalker,ムーンウォーカー
number girl,ナンバーガール
peppermint comic,ペパーミントCOMIC
dead space 3,デッドスペース3
mito koumon,水戸黄門
the martian,オデッセイ(映画)
gendai majo zukan,現代魔女図鑑
seitokai tantei kirika,生徒会探偵キリカ
xuan dou zhi wang,炫斗之王
monsuno,獣旋バトルモンスーノ
gunryuu sangoku-den,群龍三国伝
the fantasie of a stepmother,ある継母のメルヘン
a ja nai ka (vocaloid),Aじゃないか
ggrks (vocaloid),ググれカス
gundam seed a-star,ガンダムSEED_A-STAR
houma hunter lime,宝魔ハンターライム
